Name,RequiredExpLevel,RecommendedExpLevel,Difficulty,TutorialFlow,GiverLevel,GiverObjectType,MissionLevel,ReceiverLevel,ReceiverObjectType,Dependency,TaskType,TaskObject,TaskObjectCount,TaskLootSourceObject,TaskLevel,CustomReward,XPReward,CashReward,DailyMission,RequiredCharacterClass,Deprecated,EnablesTutorial,Item,ItemEnhancement,ItemCount,Item_Bodyguard,ItemEnhancement_Bodyguard,Item_Hunter,ItemEnhancement_Hunter,Item_Doctor,ItemEnhancement_Doctor,Item,ItemEnhancement,ItemCount,Item_Bodyguard,ItemEnhancement_Bodyguard,Item_Hunter,ItemEnhancement_Hunter,Item_Doctor,ItemEnhancement_Doctor,MissionGroup,RewardIngredient,RewardIngredientAmount,MidTermObjectivePath
Firefly,30,30,Easy,,Maze Pit,Eric,Maze Pit,Maze Pit,Foote,Wasp,return_item,"Bandage, rank 5",30,,,,,,,Hunter,,,Plans: 25 x Trauma Shot,,,,,,,,,,,,,,,,,,Specialization,,,graphics/mission/hunter_abilities.png
Prison Outbreak,28,30,Hard,,Prison,Mason,Prison,Prison,Mason,Speak to Mason,eliminate,Anger,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,High-Value Targets,,,
,,,,,,,,,,,eliminate,Bomber,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Gyros,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Undead Butcher,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speak to Mason,28,30,Easy,,Pirate Bay,Alton Harvey,Prison,Prison,Mason,,talk,Mason,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,High-Value Targets,,,
My ammo!,8,10,Medium,,Forest Highway,Riggs,Forest Highway,Omega Avenue,Murtaugh,,loot,Box of Ammo,5,Undead Cop,,,,,,,,,,,,,,,,,,,,,,,,,,,Omega,,,
,,,,,,,,,,,loot,Bobinator,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omega Avenue Cleanup,8,10,Medium,,Omega Avenue,Murtaugh,Omega Avenue,Omega Avenue,Kirkman,My ammo!,escort,Murtaugh,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Omega,,,
Omega Metal,8,10,Medium,,Omega Avenue,Kirkman,Omega Avenue,Omega Avenue,More,Omega Avenue Cleanup,loot,Metal Shard,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Omega,,,
Omega Family,8,10,Medium,,Omega Avenue,More,Omega Avenue,Omega Avenue,More,Omega Metal,use,usable_car_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Omega,,,
Omega Island Called,8,10,Medium,,Pirate Bay,Mr. Dawnbreak,Forest Highway,Forest Highway,Riggs,,talk,Riggs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Omega,,,
Headless Zombie,8,10,Hard,,Omega Avenue,More,Omega Avenue,Pirate Bay,Mr. Dawnbreak,Omega Family,eliminate,Headmaster,1,,,,,,,,,,Supercell Rootbeer,,,,,,,,,,,,,,,,,,Omega,,,
Cleaner,28,30,Hard,,Pirate Bay,Mr. Dawnbreak,Omega Island Harbor,Pirate Bay,Mr. Dawnbreak,,eliminate,Swarmbot,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Omega,,,
It was big...too big,28,30,Hard,,Omega Island Harbor,Cal,Wetlands,Omega Island Harbor,Cal,,eliminate,Big Boss,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Omega,,,
Mobster Mansion,28,30,Hard,,Copenhagen Street,Bernoulli,Copenhagen Street,Copenhagen Street,Bernoulli,,eliminate,Bob De La Muerte,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,High-Value Targets,,,
,,,,,,,,,,,eliminate,Hector De La Muerte,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Victor De La Muerte,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
