Name,ConsumableItemClass,RequiredWeaponClass,DropOnlyTo,RequiredLevel,MinDamage,MaxDamage,MaxScaledLevel,MinScaledDamage,MaxScaledDamage,Rarity,ShopRecommend,DontScaleStarRating,LootDisabled,DiamondsOnly,DiamondCostExact,LootMinLevel,LootMaxLevel,PlaceableInEditor,AlwaysOnVendor,LootResource,LootExportName,EnergyCost,HealthCost,Projectile,TargetFilter,Range,Threat,Cast,AoeRadius,AoeFilter,MinEnergy,MaxEnergy,PushBack,Animation,WeaponClassAnimation,SpecialWeapon,Icon,TOOL_TIP_TID,ActivationStartEffect,ActivationHitEffect,TargetEffect,CastEndSound,Muzzle,MuzzleGlow,BulletTrail,BulletFlash,MeleeTrail,ShootDuration,ShootCount,BuffDuration,BuffAoeRadius,BuffAoeFilter,BuffStun,BuffMovementSpeed,BuffSkillSpeed,BuffMoney,BuffExperience,BuffArmor,BuffArmor%,BuffIntelligence,BuffAgility,BuffStrength,BuffStamina,BuffCredibility,BuffEnergy,BuffDamage,ScaledBuffDamage,BuffEffect,FBSpecialReward,FBWallPostIcon
Renew,Prolonger Ability 2,Special Weapon: Prolonger,Doctor,30,-100,-500,,,,Common,,,TRUE,,300,30,30,,,graphics/loot/loot_box1.swf,LootBox,35,,,self+friendly,,50,600,,,,,,,,,125,TID_ABILITY_Renew,,,Skill_FX_Doctors_App_Target,,muzzle_heal,HealShot,HealShot,Tracer_heal,,,,10000,,,,,,,,,,,,,,,,-3000,,,,
Smart Minds,Prolonger Ability 3,Special Weapon: Prolonger,Doctor,30,,,,,,Common,,,TRUE,,300,30,30,,,graphics/loot/loot_box1.swf,LootBox,35,,,self+friendly,,40,1000,,,,,,Rage,,,126,TID_ABILITY_SmartMinds,,,Skill_FX_Supporter_Target,,,,,,,,,450000,150,self+friendly,,,,,,,,150,,150,,,,,,,,
Nerve Gas,Wasp Ability 1,Special Weapon: Wasp,Hunter,30,50,280,,,,Common,,,TRUE,,300,30,30,,,graphics/loot/loot_box1.swf,LootBox,30,,,enemy,,35,500,,,,,,,,,127,TID_ABILITY_NerveGas,,,Skill_FX_Toxic_Avenge,,sonic_burst_muzzle,SonicBurst,SonicBurst,Tracer_sonic,,,,5000,,,,,,,,,,,,,,,,1500,,PoisonSteam,,
Toxic Avenger,Wasp Ability 2,Special Weapon: Wasp,Hunter,30,,,,,,Common,,,TRUE,,300,30,30,,,graphics/loot/loot_box1.swf,LootBox,30,,,enemy,,40,600,,,,,,,,,128,TID_ABILITY_ToxicAvenger,,,Skill_FX_Toxic,,Muzzle,Glow,Basic,Trail_plasma,,,,10000,,,,,,,,,-10,,,,,,,2000,,PoisonSteam,,
Wounding Shot,Wasp Ability 3,Special Weapon: Wasp,Hunter,30,150,250,,,,Common,,,TRUE,,300,30,30,,,graphics/loot/loot_box1.swf,LootBox,35,,,enemy,,43,800,,,,,,,,,129,TID_ABILITY_WoundingShot,,,Skill_Fx_Aimed_Shot,,Muzzle,AimedShot,AimedShot,Trail_laser,,,,12000,,,,,,,,,,,,,,,,1800,,,,
Trauma Shot,Firefly Ability 1,Special Weapon: Firefly,Hunter,30,750,1000,,,,Common,,,TRUE,,300,30,30,,,graphics/loot/loot_box1.swf,LootBox,45,,,enemy,,40,300,,,,,,,,,130,TID_ABILITY_TraumaShot,,,Skill_FX_Head_Wound,,sonic_burst_muzzle,QuickShot,QuickShot,Trail_plasma,,,,10000,,,,,-20,,,,,,,,,,,,,,,
Sinister Shot,Firefly Ability 2,Special Weapon: Firefly,Hunter,30,600,1200,,,,Common,,,TRUE,,300,30,30,,,graphics/loot/loot_box1.swf,LootBox,50,,,enemy,,50,400,,,,,,,,,131,TID_ABILITY_SinisterShot,,,Skill_FX_Leg_Shot,,Muzzle,CrippleShot,CrippleShot,Trail_laser,,,,,,,,,,,,,,,,,,,,,,,,
Head Shot,Firefly Ability 3,Special Weapon: Firefly,Hunter,30,400,750,,,,Common,,,TRUE,,300,30,30,,,graphics/loot/loot_box1.swf,LootBox,35,,,enemy,,55,500,,,,,,,,,132,TID_ABILITY_HeadShot,,,Skill_FX_Head_Wound,,Muzzle,WoundShot,WoundShot,Trail_plasma,,,,4000,,,,-50,,,,,,,,,,,,3500,,,,
Dum-Dum,Leviathan Ability 1,Special Weapon: Leviathan,Hunter,30,400,800,,,,Common,,,TRUE,,300,30,30,,,graphics/loot/loot_box1.swf,LootBox,30,,,enemy,,40,800,30,enemy,,,,,,,133,TID_ABILITY_DumDum,,,Skill_FX_TraumaShot_Hit,,sonic_burst_muzzle,SonicBurst,SonicAuto,Trail_laser,,,,3000,50,friendly,,,,,,,,,,,,,,1500,,Burner,,
Shooting Madness,Leviathan Ability 2,Special Weapon: Leviathan,Hunter,30,,,,,,Common,,,TRUE,,300,30,30,,,graphics/loot/loot_box1.swf,LootBox,35,,,self,,35,900,,,,,,,,,134,TID_ABILITY_ShootingMadness,,CombatBoosterActivation,,,,,,,,,,10000,,,,,40,,,,,,,,,,,,,,,
Bouncing Bullet,Leviathan Ability 3,Special Weapon: Leviathan,Hunter,30,500,1250,,,,Common,,,TRUE,,300,30,30,,,graphics/loot/loot_box1.swf,LootBox,40,,,enemy,,50,900,45,enemy,,,,,,,135,TID_ABILITY_BouncingBullet,,,Skill_FX_Head_Wound,,Muzzle,CrippleShot,CrippleShot,Trail_plasma,,,,10000,,,,,,,,,,,,,,,,,,,,
Flesh Eater,Rampage Ability 1,Special Weapon: Rampage,Bodyguard,30,400,850,,,,Common,,,TRUE,,300,30,30,,,graphics/loot/loot_box1.swf,LootBox,47,800,,enemy,,15,600,,,,,,FatalStraight,,,144,TID_ABILITY_FleshEater,,,Skill_FX_Arms_Eater,,,,,,,,,10000,,,,-25,-10,,,,,,,,,,,,,,,
Bone Cracker,Rampage Ability 2,Special Weapon: Rampage,Bodyguard,30,350,800,,,,Common,,,TRUE,,300,30,30,,,graphics/loot/loot_box1.swf,LootBox,45,800,,enemy,,15,700,,,,,,Melee03,,,142,TID_ABILITY_BoneCracker,,,Skill_FX_Leg_Breaker,,,,,,,,,7000,,,,,,,,,,,,,,,,2800,,,,
Skull Crusher,Rampage Ability 3,Special Weapon: Rampage,Bodyguard,30,300,400,,,,Common,,,TRUE,,300,30,30,,,graphics/loot/loot_box1.swf,LootBox,37,,,enemy,,20,800,,,,,,MegaStrike,,,143,TID_ABILITY_SkullCrusher,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,1800,,,,
Thruster,Bulwark Ability 1,Special Weapon: Bulwark,Bodyguard,30,,,,,,Common,,,TRUE,,300,30,30,,,graphics/loot/loot_box1.swf,LootBox,50,,,self,,70,800,,,,,,Rage,,,139,TID_ABILITY_Thruster,,ArmorActivation,,,,,,,,,,30000,,,,,,,,,40,,,-70,,,,,,TankShield,,
Deception,Bulwark Ability 2,Special Weapon: Bulwark,Bodyguard,30,100,300,,,,Common,,,TRUE,,300,30,30,,,graphics/loot/loot_box1.swf,LootBox,45,,,enemy,,90,900,35,enemy,,,TRUE,Deception,,,140,TID_ABILITY_Deception,,,Skill_FX_MegaStrike,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,
Leg Breaker,Bulwark Ability 3,Special Weapon: Bulwark,Bodyguard,30,150,400,,,,Common,,,TRUE,,300,30,30,,,graphics/loot/loot_box1.swf,LootBox,55,,,enemy,,100,600,,,,,,Melee02,,,141,TID_ABILITY_LegBreaker,,,Skill_FX_Rude_Smash,,,,,,,,,5000,,,,-50,,,,,20,,,,,,,3000,,,,
Mass Damage,Hurricane Ability 1,Special Weapon: Hurricane,Bodyguard,30,300,450,,,,Common,,,TRUE,,300,30,30,,,graphics/loot/loot_box1.swf,LootBox,35,,,enemy,,40,800,45,enemy,,,,FatalStraight,,,136,TID_ABILITY_MassDamage,,,Skill_FX_Slammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wounds For All,Hurricane Ability 2,Special Weapon: Hurricane,Bodyguard,30,150,550,,,,Common,,,TRUE,,300,30,30,,,graphics/loot/loot_box1.swf,LootBox,40,,,enemy,,40,900,45,enemy,,,,ThrowSide,,,137,TID_ABILITY_WoundsForAll,,,Skill_FX_Eunuch_Maker,,,,,,,,,3000,,,,,10,,,,,,,,,,,2000,,,,
Jaws Breaker,Hurricane Ability 3,Special Weapon: Hurricane,Bodyguard,30,200,700,,,,Common,,,TRUE,,300,30,30,,,graphics/loot/loot_box1.swf,LootBox,35,,,self,,44,1000,45,enemy,,,,Twirler,,,138,TID_ABILITY_JawsBreaker,,,Skill_FX_Twirler_Hit,,,,,,,,,10000,,,,,,,,,-15,,,,,,,,,,,
Premium Membership,Stimulant,,,1,,,,,,Rare,TRUE,TRUE,TRUE,TRUE,9000,1,30,,,graphics/loot/loot_box1.swf,LootBox,,,,self,,50,0,,,,,,Rage,,,89,TID_TOOLTIP_CONSUMABLE_PREMIUM,StimulantActivation3,Skill_FX_Supporter,,,,,,,,,,172800000,,,,,,100,100,,,,,,,,,,,,,
Nuke,Special Missile,,,24,15000,18000,,,,Epic,TRUE,,TRUE,TRUE,1500,20,30,,TRUE,graphics/loot/loot_box1.swf,LootBox,,,Nuke,location,,20,450,85,enemy+self,,,TRUE,Use,,,36,TID_TOOLTIP_CONSUMABLE_NUKE,,AirStrike,AirStrike,AirStrikeLaunch,,,,,,,,6000,,,,,,,,,,,,,,,,4000,,Burner,,
